Nome;Endereço;CEP;Telefone;Diretor(a);E-mail
NEIM Abraão;Rua João Meirelles, n° 1780 - Abraão;88085-201;(48) 3348-9209;MARIZA MARIA MARTINS DA SILVA;neim.abraao@sme.pmf.sc.gov.br
NEIM Anirson Antônio das Chagas;Rod. Dr. Antônio Luiz Gonzaga, 2023 - Rio Tavares;88048-414;(48) 3226-8113;LAILA ELENA BION CUNHA;neim.anirson@sme.pmf.sc.gov.br
NEIM Antonieta de Barros;Rua Nossa Senhora Aparecida, s/n - Coqueiros | Vila Aparecida;88010-970;(48) 3348-7632;ADRIANA MARIA LOPES DE O MACHADO;neim.antonietadebarros@sme.pmf.sc.gov.br
NEIM Profª Alessandra Abdalla;Rua do Conselho s/nº - Tapera;88064-000;(48) 3337-5702;ANDREIA MARIA DE SOUZA FERNANDES;neim.professoraalessandra@sme.pmf.sc.gov.br
NEIM Almirante Lucas Alexandre Boiteux;Avenida Mauro Ramos, n° 658 - Centro;88020-301;(48) 3324-2819;LAURA SEVERO THOMAZETTI;neim.almirantelucas@sme.pmf.sc.gov.br
NEIM Altino Dealtino Cabral;Rua Padre Lourenço Rodrigues de Andrade, n° 120 - Santo Antônio de Lisboa;88050-400;(48) 3334-1098;JAQUELINE AZEVEDO;neim.altino@sme.pmf.sc.gov.br
NEIM Anjo da Guarda;Rua João da Cruz Meira, n° 350 - Trindade;88036-030;(48) 3333-3819;MIRELLA RENATA MANICA;neim.anjodaguarda@sme.pmf.sc.gov.br
NEIM Anna Spyrios Dimatos;Rodovia Açoriana, n° 1180 - Tapera;88049-100;(48) 3337-0614;ANDREZA VENTURA DA CRUZ;neim.annaspyrios@sme.pmf.sc.gov.br
NEIM Armação;Rua Izidoro Pires, n° 143 - Armação;88066-520;(48)3237-5717;LENISSA COUTINHO;neim.armacao@sme.pmf.sc.gov.br
NEIM Barreira do Janga;Rua Virgílio Varzea, n° 2507 - Saco Grande;88032-000;(48) 3238-0378 | (48) 3238-3064;GABRIELA PIRES VIEIRA;neim.barreiradojanga@sme.pmf.sc.gov.br
NEIM Bem-te-vi;Avenida Rio Branco, n° 719 - Centro;88015-203;(48) 3324-1723;MARILETE FIGUEREDO;neim.bemtevi@sme.pmf.sc.gov.br
NEIM Caetana Marcelina Dias;Rodovia Baldicero Filomeno, n° 3000 - Ribeirão da Ilha;88064-001;(48) 3337-6273;PATRICIA ABS DA CRUZ ABES;neim.caetana@sme.pmf.sc.gov.br
NEIM Caieira da Barra do Sul;Rodovia Baldicero Filomeno, n° 19795 - Caieira da Barra do Sul;88064-002;(48) 3237-6184;MICHELLE CRISTINA MENDES;neim.caieira@sme.pmf.sc.gov.br
NEIM Campeche;Servidão Dionísio Rafhael Ignácio, n° 287 - Campeche;88063-315;(48) 3338-4886;LAÍS DA COSTA INÁCIO;neim.campeche@sme.pmf.sc.gov.br
NEIM Canto da Lagoa;Rua Laurindo Januário da Silveira, n° 2493 - Canto da Lagoa;88062-200;(48) 3226-8118;LORAINE REINEHR NOBRE;neim.cantodalagoa@sme.pmf.sc.gov.br
NEIM Carlos Humberto Pederneiras Corrêa;Rua Zumbi dos Palmares, n° 29 - Agronômica;88025-235;(48) 3222-7076;BRUNA DUARTE GONÇALVES AMARAL;neim.carloshumberto@sme.pmf.sc.gov.br
NEIM Celso Pamplona;Rua Gualberto Senna, n° 111 - Jardim Atlântico;88095-390;(48) 3240-1433;TANIA CLAUDIA RITA MARTINS;neim.celsopamplona@sme.pmf.sc.gov.br
NEIM Celso Ramos;Rua Silva Jardim, n° 870 - Prainha;88020-200;(48) 3225-8428;ALINE MARIA RIOS;neim.celsoramos@sme.pmf.sc.gov.br
NEIM Chico Mendes;Rua João Almeida de Oliveira, n°147 - Monte Cristo;88090-576;(48) 3240-6402;KARINE QUINT RACHADEL;neim.chicomendes@sme.pmf.sc.gov.br
NEIM Clair Gruber Souza;Rua Manoel Mancellos Moura, n° 171 - Canasvieiras;88054-030;(48) 3369-1584;ANDREIA VANESSA GERSTNER;neim.clair@sme.pmf.sc.gov.br
NEIM Colônia Z-11;Rua Desembargador Ivo Guilhon Pereira de Melo, n° 64 - Barra da Lagoa;88061-289;(48) 3232-3046;CLEUSA ANTONIA MEDEIROS;neim.coloniaz11@sme.pmf.sc.gov.br
NEIM Coqueiros;Rua Bento Góia, n° 185 - Coqueiros;88080-150;(48) 3348-2033 | (48) 3248-5184;SHARLENE DOS SANTOS;neim.coqueiros@sme.pmf.sc.gov.br
NEIM Costeira do Pirajubaé;Avenida Jorge Lacerda, 1472 fundos - Costeira do Pirajubaé;88047-001;(48) 3338-8477;CINTIA OLIVEIRA FERNANDES;neim.costeira@sme.pmf.sc.gov.br
NEIM Cristo Redentor;Rua Valdemiro Monguilhot, n° 5 - Centro;88020-310;(48) 3324-2229;JUCELIA MARIA GONZAGA RIBEIRO;neim.cristoredentor@sme.pmf.sc.gov.br
NEIM Diamantina Bertolina da Conceição;Rod. Luiz Moura Gonzaga, n° 1525 - Rio Tavares;88063-000;(48) 3226-8680;RENATA SUELI DA ROCHA;neim.diamantina@sme.pmf.sc.gov.br
NEIM Dona Cota;Rua João Meirelles, n° 1515 - Abraão;88085-201;(48) 3249-5576;DEYZE APARECIDA TURNES;neim.donacota@sme.pmf.sc.gov.br
NEIM do Futuro Doralice Maria Dias;Rodovia SC 403, km 3 - Vargem do Bom Jesus;88058-601;(48) 99999-5251 - (48) 3266 - 8798;ELIANE BRUSCO DAS CHAGAS;neim.doralicemaria@sme.pmf.sc.gov.br
NEIM Doralice Teodora Bastos;Rua Manoel Mancellos Moura, n° 85 - Canasvieiras;88054-030;(48) 3266-4789;MARCIA ELIZA DE SOUZA;neim.doraliceteodora@sme.pmf.sc.gov.br
NEIM Elisabete Nunes Anderle;Servidão Timóteo José Mariano, n° 254 - Barra da Lagoa;88061-190;(48) 3338-4785;GRASIELA IRINETE FERREIRA MENESES;neim.elisabete@sme.pmf.sc.gov.br
NEIM Evandro de Souza;Rua General Vieira da Rosa - Carvoeira, Florianópolis - SC;88045;;JULIANA SILVA NOBORO MARQUES;neim.evandrodesousa@sme.pmf.sc.gov.br
NEIM Fermínio Francisco Vieira;Rua Sebastião Laurentino da Silva, n° 250 - Córrego Grande;88037-400;(48) 3234-6381;SIMONE CARMINATTI DE ALMEIDA;neim.ferminio@sme.pmf.sc.gov.br
NEIM Francisca Idalina Lopes;Rua Nossa Senhora de Fátima, n° 325 - Areias Morro das Pedras;88066-030;(48) 3338-7816;FABIANA KARLA DA COSTA DOMINGUES;neim.franciscaidalina@sme.pmf.sc.gov.br
NEIM Gentil Mathias da Silva;Rua Dom João Becker, n° 988 - Ingleses;88058-600;(48) 3369-1126 | (48) 3282-9021;VANUSA ALDA DE SOUZA;neim.gentilmathias@sme.pmf.sc.gov.br
NEIM Hassis;Rodovia Jorge Lacerda, s/n° - Costeira do Pirajubaé;88047-001;(48) 3226-3180;MARIA EMILCE MACHADO ALVES;neim.hassis@sme.pmf.sc.gov.br
NEIM Hermenegilda Carolina Jacques;Rua Intendente Antônio Damasco, n° 3800 - Ratones;88052-100;(48) 3266-8590;LILIANE OLIVEIRA PINHEIRO;neim.hermenegilda@sme.pmf.sc.gov.br
NEIM Idalina Ochôa;Vereador Osvaldo Bittencourt, n° 327 - Carianos;88047-440;(48) 3236-2646;GIPSY MAIARA LEMES DOS SANTOS;neim.idalina@sme.pmf.sc.gov.br
NEIM Ilha Continente;Tv. Central Continente, 124 - Capoeiras;88070-224;(48) 3248-6297;ANA PAULA DA CUNHA PEREIRA;neim.ilhacontinente@sme.pmf.sc.gov.br
NEIM Ingleses I;Rua Três Maria, n° 1040 - Ingleses;88058-600;(48) 3269-3691;SAMANTHA GONZALES BROUWENSTYN;neim.ingleses1@sme.pmf.sc.gov.br
NEIM Profª Sueli Gadotti Rodrigues;Servidão Anibal Pedro de Oliveira, n° 319 - Ingleses;88058-324;(48) 3369-6024;CLÁUDIA COSTA RICARDO;neim.ingleses2@sme.pmf.sc.gov.br
